day,hourlon,lat,age,r,,action,playerId,gameId
14811,13.367829,-1.1827951669692993,52.95111358165741,0,183373,"createMember.done","P503","GA502"
14811,13.372093,-1.1829346418380737,52.951199412345886,0,183386,"CommunitiesButton","P503","GA502"
14811,13.373764,-1.18302583694458,52.951215505599976,0,183391,"CommunitiesButton","P503","GA502"
14811,13.374306,-1.183052659034729,52.951220870018005,0,183392,"CreateMemberButton","P503","GA502"
14811,13.376555,-1.1833906173706055,52.95129060745239,0,183410,"createMember.started","P503","GA502"
14811,13.379714,-1.1834335327148438,52.95130133628845,0,183412,"createMember.failed","P503","GA502"
14811,13.381482,-1.183476448059082,52.95133888721466,0,183417,"createMember.done","P503","GA502"
14811,13.394397,-1.1834120750427246,52.95136570930481,0,183418,"placeMember.failed","P503","GA502"
14811,13.399615,-1.1833959817886353,52.95137107372284,0,183418,"CommunitiesButton","P503","GA502"
14811,13.400794,-1.1834228038787842,52.9514354467392,0,183425,"placeMember.failed","P503","GA502"
14811,13.406309,-1.1834603548049927,52.951483726501465,0,183431,"CommunitiesButton","P503","GA502"
14811,13.407257,-1.1834442615509033,52.951462268829346,0,183428,"placeMember.failed","P503","GA502"
14811,13.414103,-1.1833852529525757,52.95140862464905,0,183421,"CommunitiesButton","P503","GA502"
14811,13.41504,-1.183079481124878,52.95118868350983,0,183390,"placeMember.failed","P503","GA502"
14811,13.4231,-1.1829668283462524,52.95115649700165,0,183383,"CommunitiesButton","P503","GA502"
14811,13.424304,-1.1828970909118652,52.95105457305908,0,183371,"placeMember.done","P503","GA502"
14811,13.431649,-1.1828970909118652,52.95104920864105,0,183370,"CommunitiesButton","P503","GA502"
14811,13.767185,0.0,0.0,0,NA,"CreateMemberButton","P505","GA503"
14811,13.783551,0.0,0.0,0,NA,"createMember.done","P505","GA503"
14811,13.789354,-1.1827844381332397,52.95110285282135,0,183372,"placeMember.done","P505","GA503"
14811,13.817164,-1.1828327178955078,52.95113503932953,0,183377,"CommunitiesButton","P505","GA503"
14811,13.884636,-1.1828434467315674,52.9510760307312,189,183371,"CreateMemberButton","P505","GA503"
14811,13.891141,-1.1828434467315674,52.9510760307312,222,183371,"createMember.done","P505","GA503"
14811,13.9085245,-1.1828434467315674,52.9510760307312,275,183371,"CommunitiesButton","P505","GA503"
14811,13.925176,-1.1828434467315674,52.9510760307312,335,183371,"CreateMemberButton","P505","GA503"
14811,13.928537,-1.1828434467315674,52.9510760307312,358,183371,"createMember.done","P505","GA503"
14811,13.933947,-1.1830097436904907,52.951242327690125,0,183393,"placeMember.done","P505","GA503"
14811,13.940205,-1.1830151081085205,52.951247692108154,0,183394,"CommunitiesButton","P505","GA503"
14811,13.941166,-1.1830151081085205,52.951253056526184,1,183394,"placeMember.done","P505","GA503"
14811,13.953251,-1.183154582977295,52.95143008232117,0,183416,"CommunitiesButton","P505","GA503"
14811,13.963732,-1.18352472782135,52.951580286026,0,183442,"CommunitiesButton","P505","GA503"
14811,13.970757,-1.1836427450180054,52.95166611671448,0,183454,"CommunitiesButton","P505","GA503"
14811,13.974745,-1.1837875843048096,52.95168220996857,1,183461,"CommunitiesButton","P505","GA503"
14811,13.977868,-1.1838465929031372,52.9516875743866,0,183463,"CreateMemberButton","P505","GA503"
14811,13.980623,-1.1839485168457031,52.95167684555054,0,183465,"createMember.done","P505","GA503"
14811,14.006045,-1.1847853660583496,52.95152127742767,0,183476,"CreateMemberButton","P505","GA503"
14811,14.009337,-1.1847639083862305,52.9515266418457,0,183476,"createMember.done","P505","GA503"
14811,14.011205,-1.1848121881484985,52.95155346393585,0,183480,"placeMember.done","P505","GA503"
14811,14.015839,-1.1848068237304688,52.95155346393585,0,183480,"CommunitiesButton","P505","GA503"
14811,14.016827,-1.1848068237304688,52.95154273509979,0,183479,"placeMember.done","P505","GA503"
14811,14.020883,-1.1848121881484985,52.95153737068176,0,183479,"CommunitiesButton","P505","GA503"
14811,14.023367,-1.1847317218780518,52.95155346393585,0,183478,"carryMember.done","P505","GA503"
14811,14.026052,-1.1846941709518433,52.95159637928009,0,183481,"CommunitiesButton","P505","GA503"
14811,14.039006,-1.1843830347061157,52.95162856578827,0,183474,"CreateMemberButton","P505","GA503"
14811,14.0414,-1.1842542886734009,52.95165538787842,0,183473,"createMember.started","P505","GA503"
14811,14.042105,-1.184248924255371,52.95166075229645,0,183473,"createMember.done","P505","GA503"
14811,14.044109,-1.1841416358947754,52.951709032058716,0,183474,"placeMember.done","P505","GA503"
14811,14.052397,-1.1837071180343628,52.95164465904236,0,183454,"CommunitiesButton","P505","GA503"
14811,14.0543,-1.1835944652557373,52.95160710811615,0,183447,"placeMember.done","P505","GA503"
14811,14.055604,-1.1835944652557373,52.95160710811615,0,183447,"CommunitiesButton","P505","GA503"
14811,14.061122,-1.183401346206665,52.951446175575256,1,183425,"CreateMemberButton","P505","GA503"
14811,14.063411,-1.1831384897232056,52.95142471790314,0,183415,"createMember.done","P505","GA503"
14811,14.066632,-1.1828166246414185,52.95114040374756,0,183377,"placeMember.done","P505","GA503"
14811,14.164777,-1.1828327178955078,52.9511296749115,303,183376,"CommunitiesButton","P505","GA503"
14811,17.072948,0.0,0.0,0,NA,"CreateMemberButton","P515","GA506"
14811,17.141344,0.0,0.0,0,NA,"CreateMemberButton","P515","GA506"
