day,hour,gametime,zone,lon,lat,age,r,dist,action,playerId,gameId,year
14812,6.88797664642334,413.27858333333336,,-1.1570727825164795,52.97787129878998,0,185206,6,"move","P521","GA507",NA
14812,6.888233184814453,413.29398333333336,,-1.1569815874099731,52.97788739204407,0,185205,6,"move","P521","GA507",NA
14812,6.888752460479736,413.3251333333333,,-1.1568421125411987,52.9778927564621,0,185201,9,"move","P521","GA507",NA
14812,6.889571189880371,413.3742833333333,,-1.156761646270752,52.97790348529816,0,185199,5,"move","P521","GA507",NA
14812,6.894323348999023,413.6593833333333,,-1.1566489934921265,52.97787129878998,0,185193,8,"move","P521","GA507",NA
14812,6.8945722579956055,413.67435,,-1.1566168069839478,52.97782301902771,0,185187,5,"move","P521","GA507",NA
14812,6.894842147827148,413.69051666666667,,-1.1565899848937988,52.97775328159332,0,185179,7,"move","P521","GA507",NA
14812,6.895124912261963,413.7075,,-1.15656316280365,52.977678179740906,0,185171,8,"move","P521","GA507",NA
14812,6.895401477813721,413.7241,,-1.1565470695495605,52.97760307788849,0,185163,8,"move","P521","GA507",NA
14812,6.895681858062744,413.7409,,-1.1565309762954712,52.97752261161804,0,185155,9,"move","P521","GA507",NA
14812,6.895989894866943,413.7594,,-1.1565202474594116,52.977436780929565,0,185146,9,"move","P521","GA507",NA
14812,6.896255016326904,413.7753,,-1.156488060951233,52.97734022140503,0,185135,10,"move","P521","GA507",NA
14812,6.8965277671813965,413.79165,,-1.1564773321151733,52.97725439071655,0,185127,9,"move","P521","GA507",NA
14812,6.896805763244629,413.80831666666666,,-1.1564666032791138,52.977168560028076,0,185118,9,"move","P521","GA507",NA
14812,6.8970866203308105,413.8252,,-1.1564558744430542,52.97707736492157,0,185108,10,"move","P521","GA507",NA
14812,6.897365093231201,413.8419,,-1.1563968658447266,52.976943254470825,0,185093,15,"move","P521","GA507",NA
14812,6.897640705108643,413.8584333333333,,-1.1563485860824585,52.97681987285614,0,185080,14,"move","P521","GA507",NA
14812,6.897961139678955,413.87765,,-1.1563056707382202,52.976701855659485,0,185067,13,"move","P521","GA507",NA
14812,6.89820671081543,413.8923833333333,,-1.1562788486480713,52.9765784740448,0,185054,13,"move","P521","GA507",NA
14812,6.898453235626221,413.9071833333333,,-1.156262755393982,52.976471185684204,0,185043,11,"move","P521","GA507",NA
14812,6.8987298011779785,413.92378333333335,,-1.156235933303833,52.97637462615967,0,185032,10,"move","P521","GA507",NA
14812,6.898997783660889,413.93986666666666,,-1.1562144756317139,52.97628343105316,0,185023,10,"move","P521","GA507",NA
14812,6.899282455444336,413.95691666666664,,-1.1561769247055054,52.976186871528625,0,185012,11,"move","P521","GA507",NA
14812,6.899839878082275,413.99038333333334,,-1.1561661958694458,52.97611176967621,0,185004,8,"move","P521","GA507",NA
14812,6.900425434112549,414.0255333333333,,-1.156134009361267,52.97605276107788,0,184997,6,"move","P521","GA507",NA
14812,6.901249885559082,414.0749833333333,,-1.156160831451416,52.97599911689758,0,184993,6,"move","P521","GA507",NA
14812,6.901801586151123,414.1081,,-1.1562520265579224,52.975956201553345,0,184991,7,"move","P521","GA507",NA
14812,6.921237945556641,415.2742666666667,,-1.1563217639923096,52.97598838806152,0,184997,5,"move","P521","GA507",NA
14812,6.922070026397705,415.32418333333334,,-1.1563915014266968,52.97604739665985,0,185005,8,"move","P521","GA507",NA
